ticker,event_id,event_name,calendar_date,mapped_trading_date,event_type,source_reference,severity_score_asset_specific,severity_label_asset_specific,severity_rule
SPY,E01,Dot-com selloff,2000-04-14,2000-04-14,bear_market,Federal Reserve History dot-com bubble; NBER business-cycle chronology,0.11436734084058575,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E02,September 11 reopening,2001-09-17,2001-09-17,exogenous_shock,NYSE market reopening after September 11 attacks; SEC market structure reports,0.1816541977721262,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E03,WorldCom selloff,2002-07-24,2002-07-24,credit_accounting,SEC WorldCom accounting fraud litigation; Federal Reserve History corporate accounting scandals,0.19591684339011606,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E04,Quant crisis,2007-08-09,2007-08-09,liquidity_shock,Khandani and Lo (2007) quant crisis; Federal Reserve subprime liquidity stress accounts,0.09047510253709945,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E05,Lehman crisis,2008-09-29,2008-09-29,systemic_crisis,Financial Crisis Inquiry Commission report; NBER Great Recession chronology,0.34439037988736054,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E06,Flash crash,2010-05-06,2010-05-06,microstructure_shock,CFTC-SEC staff report on the May 6 2010 flash crash,0.12306011003672446,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E07,U.S. downgrade selloff,2011-08-08,2011-08-08,sovereign_credit,Standard & Poor's U.S. sovereign downgrade announcement; Federal Reserve market commentary,0.16584928542732014,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E08,China devaluation selloff,2015-08-24,2015-08-24,global_growth,Federal Reserve and BIS commentary on August 2015 China devaluation/global equity selloff,0.11170638111024489,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E09,Volmageddon,2018-02-05,2018-02-05,volatility_shock,Cboe volatility product event discussions; SEC/CFTC market volatility commentary,0.10101853162547658,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E10,Q4 2018 selloff,2018-12-24,2018-12-24,monetary_liquidity,Federal Reserve Financial Stability Report discussion of 2018 Q4 tightening/liquidity stress,0.15607430322954252,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E11,COVID crash,2020-03-16,2020-03-16,pandemic_shock,Federal Reserve Financial Stability Report May 2020; NBER COVID recession chronology,0.3371725495146518,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E12,Inflation selloff,2022-06-13,2022-06-13,monetary_inflation,Federal Reserve Financial Stability Report 2022; market stress around inflation/FOMC repricing,0.12156494350504699,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
SPY,E13,Bank stress,2023-03-13,2023-03-13,banking_stress,Federal Reserve review of Silicon Valley Bank; Financial Stability Report 2023 banking stress,0.06913394117162153,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
QQQ,E01,Dot-com selloff,2000-04-14,2000-04-14,bear_market,Federal Reserve History dot-com bubble; NBER business-cycle chronology,0.3227177791234731,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
QQQ,E02,September 11 reopening,2001-09-17,2001-09-17,exogenous_shock,NYSE market reopening after September 11 attacks; SEC market structure reports,0.3141120828991828,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
QQQ,E03,WorldCom selloff,2002-07-24,2002-07-24,credit_accounting,SEC WorldCom accounting fraud litigation; Federal Reserve History corporate accounting scandals,0.1860286266296277,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
QQQ,E04,Quant crisis,2007-08-09,2007-08-09,liquidity_shock,Khandani and Lo (2007) quant crisis; Federal Reserve subprime liquidity stress accounts,0.09678075751649018,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
QQQ,E05,Lehman crisis,2008-09-29,2008-09-29,systemic_crisis,Financial Crisis Inquiry Commission report; NBER Great Recession chronology,0.3775081115447959,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
QQQ,E06,Flash crash,2010-05-06,2010-05-06,microstructure_shock,CFTC-SEC staff report on the May 6 2010 flash crash,0.12509906896033907,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
QQQ,E07,U.S. downgrade selloff,2011-08-08,2011-08-08,sovereign_credit,Standard & Poor's U.S. sovereign downgrade announcement; Federal Reserve market commentary,0.1609927421555254,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
QQQ,E08,China devaluation selloff,2015-08-24,2015-08-24,global_growth,Federal Reserve and BIS commentary on August 2015 China devaluation/global equity selloff,0.1261472189385332,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
QQQ,E09,Volmageddon,2018-02-05,2018-02-05,volatility_shock,Cboe volatility product event discussions; SEC/CFTC market volatility commentary,0.10226423801764972,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
QQQ,E10,Q4 2018 selloff,2018-12-24,2018-12-24,monetary_liquidity,Federal Reserve Financial Stability Report discussion of 2018 Q4 tightening/liquidity stress,0.16491290850729712,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
QQQ,E11,COVID crash,2020-03-16,2020-03-16,pandemic_shock,Federal Reserve Financial Stability Report May 2020; NBER COVID recession chronology,0.2855938800275829,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
QQQ,E12,Inflation selloff,2022-06-13,2022-06-13,monetary_inflation,Federal Reserve Financial Stability Report 2022; market stress around inflation/FOMC repricing,0.13674518759805987,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
QQQ,E13,Bank stress,2023-03-13,2023-03-13,banking_stress,Federal Reserve review of Silicon Valley Bank; Financial Stability Report 2023 banking stress,0.0664833927881524,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
IWM,E01,Dot-com selloff,2000-04-14,2000-08-08,bear_market,Federal Reserve History dot-com bubble; NBER business-cycle chronology,0.014518992337620218,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
IWM,E02,September 11 reopening,2001-09-17,2001-09-17,exogenous_shock,NYSE market reopening after September 11 attacks; SEC market structure reports,0.21351342885609148,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
IWM,E03,WorldCom selloff,2002-07-24,2002-07-24,credit_accounting,SEC WorldCom accounting fraud litigation; Federal Reserve History corporate accounting scandals,0.21755755527429255,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
IWM,E04,Quant crisis,2007-08-09,2007-08-09,liquidity_shock,Khandani and Lo (2007) quant crisis; Federal Reserve subprime liquidity stress accounts,0.11425157096655558,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
IWM,E05,Lehman crisis,2008-09-29,2008-09-29,systemic_crisis,Financial Crisis Inquiry Commission report; NBER Great Recession chronology,0.4006001019960793,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
IWM,E06,Flash crash,2010-05-06,2010-05-06,microstructure_shock,CFTC-SEC staff report on the May 6 2010 flash crash,0.14258751318691842,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
IWM,E07,U.S. downgrade selloff,2011-08-08,2011-08-08,sovereign_credit,Standard & Poor's U.S. sovereign downgrade announcement; Federal Reserve market commentary,0.22605604630655884,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
IWM,E08,China devaluation selloff,2015-08-24,2015-08-24,global_growth,Federal Reserve and BIS commentary on August 2015 China devaluation/global equity selloff,0.10792132026637091,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
IWM,E09,Volmageddon,2018-02-05,2018-02-05,volatility_shock,Cboe volatility product event discussions; SEC/CFTC market volatility commentary,0.09077254940553325,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
IWM,E10,Q4 2018 selloff,2018-12-24,2018-12-24,monetary_liquidity,Federal Reserve Financial Stability Report discussion of 2018 Q4 tightening/liquidity stress,0.18028783331197185,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
IWM,E11,COVID crash,2020-03-16,2020-03-16,pandemic_shock,Federal Reserve Financial Stability Report May 2020; NBER COVID recession chronology,0.40821026268430083,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
IWM,E12,Inflation selloff,2022-06-13,2022-06-13,monetary_inflation,Federal Reserve Financial Stability Report 2022; market stress around inflation/FOMC repricing,0.139172637187711,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
IWM,E13,Bank stress,2023-03-13,2023-03-13,banking_stress,Federal Reserve review of Silicon Valley Bank; Financial Stability Report 2023 banking stress,0.12126797219704344,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
HYG,E01,Dot-com selloff,2000-04-14,2007-06-21,bear_market,Federal Reserve History dot-com bubble; NBER business-cycle chronology,0.018387389468394466,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
HYG,E02,September 11 reopening,2001-09-17,2007-06-21,exogenous_shock,NYSE market reopening after September 11 attacks; SEC market structure reports,0.018387389468394466,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
HYG,E03,WorldCom selloff,2002-07-24,2007-06-21,credit_accounting,SEC WorldCom accounting fraud litigation; Federal Reserve History corporate accounting scandals,0.018387389468394466,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
HYG,E04,Quant crisis,2007-08-09,2007-08-09,liquidity_shock,Khandani and Lo (2007) quant crisis; Federal Reserve subprime liquidity stress accounts,0.05594296926726039,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
HYG,E05,Lehman crisis,2008-09-29,2008-09-29,systemic_crisis,Financial Crisis Inquiry Commission report; NBER Great Recession chronology,0.2777839127942596,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
HYG,E06,Flash crash,2010-05-06,2010-05-06,microstructure_shock,CFTC-SEC staff report on the May 6 2010 flash crash,0.07071776106302341,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
HYG,E07,U.S. downgrade selloff,2011-08-08,2011-08-08,sovereign_credit,Standard & Poor's U.S. sovereign downgrade announcement; Federal Reserve market commentary,0.08899872960156296,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
HYG,E08,China devaluation selloff,2015-08-24,2015-08-24,global_growth,Federal Reserve and BIS commentary on August 2015 China devaluation/global equity selloff,0.03378058494461367,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
HYG,E09,Volmageddon,2018-02-05,2018-02-05,volatility_shock,Cboe volatility product event discussions; SEC/CFTC market volatility commentary,0.030264478271502582,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
HYG,E10,Q4 2018 selloff,2018-12-24,2018-12-24,monetary_liquidity,Federal Reserve Financial Stability Report discussion of 2018 Q4 tightening/liquidity stress,0.04524279657684893,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
HYG,E11,COVID crash,2020-03-16,2020-03-16,pandemic_shock,Federal Reserve Financial Stability Report May 2020; NBER COVID recession chronology,0.22028670552364393,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
HYG,E12,Inflation selloff,2022-06-13,2022-06-13,monetary_inflation,Federal Reserve Financial Stability Report 2022; market stress around inflation/FOMC repricing,0.08488151886115547,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
HYG,E13,Bank stress,2023-03-13,2023-03-13,banking_stress,Federal Reserve review of Silicon Valley Bank; Financial Stability Report 2023 banking stress,0.02248399003557855,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
TLT,E01,Dot-com selloff,2000-04-14,2002-10-09,bear_market,Federal Reserve History dot-com bubble; NBER business-cycle chronology,0.06489136366509296,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
TLT,E02,September 11 reopening,2001-09-17,2002-10-09,exogenous_shock,NYSE market reopening after September 11 attacks; SEC market structure reports,0.06489136366509296,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
TLT,E03,WorldCom selloff,2002-07-24,2002-10-09,credit_accounting,SEC WorldCom accounting fraud litigation; Federal Reserve History corporate accounting scandals,0.06489136366509296,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
TLT,E04,Quant crisis,2007-08-09,2007-08-09,liquidity_shock,Khandani and Lo (2007) quant crisis; Federal Reserve subprime liquidity stress accounts,0.02103964087832466,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
TLT,E05,Lehman crisis,2008-09-29,2008-09-29,systemic_crisis,Financial Crisis Inquiry Commission report; NBER Great Recession chronology,0.05344458991205525,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
TLT,E06,Flash crash,2010-05-06,2010-05-06,microstructure_shock,CFTC-SEC staff report on the May 6 2010 flash crash,0.042773134398411794,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
TLT,E07,U.S. downgrade selloff,2011-08-08,2011-08-08,sovereign_credit,Standard & Poor's U.S. sovereign downgrade announcement; Federal Reserve market commentary,0.050449227355881754,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
TLT,E08,China devaluation selloff,2015-08-24,2015-08-24,global_growth,Federal Reserve and BIS commentary on August 2015 China devaluation/global equity selloff,0.05808590564766414,high,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
TLT,E09,Volmageddon,2018-02-05,2018-02-05,volatility_shock,Cboe volatility product event discussions; SEC/CFTC market volatility commentary,0.06942167561664148,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
TLT,E10,Q4 2018 selloff,2018-12-24,2018-12-24,monetary_liquidity,Federal Reserve Financial Stability Report discussion of 2018 Q4 tightening/liquidity stress,0.032216057162204215,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
TLT,E11,COVID crash,2020-03-16,2020-03-16,pandemic_shock,Federal Reserve Financial Stability Report May 2020; NBER COVID recession chronology,0.15727630329852527,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
TLT,E12,Inflation selloff,2022-06-13,2022-06-13,monetary_inflation,Federal Reserve Financial Stability Report 2022; market stress around inflation/FOMC repricing,0.08653644289138573,critical,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
TLT,E13,Bank stress,2023-03-13,2023-03-13,banking_stress,Federal Reserve review of Silicon Valley Bank; Financial Stability Report 2023 banking stress,0.04349579376929236,medium,"severity_score=max_drawdown_abs within mapped_trading_date +/- 20 trading days; critical=top tercile, high=middle tercile, medium=bottom tercile"
